상가업소번호|상호명|지점명|상권업종대분류코드|상권업종대분류명|상권업종중분류코드|상권업종중분류명|상권업종소분류코드|상권업종소분류명|표준산업분류코드|표준산업분류명|시도코드|시도명|시군구코드|시군구명|행정동코드|행정동명|법정동코드|법정동명|지번코드|대지구분코드|대지구분명|지번본번지|지번부번지|지번주소|도로명코드|도로명|건물본번지|건물부번지|건물관리번호|건물명|도로명주소|구우편번호|신우편번호|동정보|층정보|호정보|경도|위도
19905471|와라와라호프||Q|음식|Q09|유흥주점|Q09A01|호프/맥주|I56219|기타 주점업|11|서울특별시|11680|강남구|1168060000|대치1동|1168010600|대치동|1168010600206040000|1|대지|604||서울특별시 강남구 대치동 604|116802000003|서울특별시 강남구 남부순환로|2933||1168010600106040000014378|대치상가|서울특별시 강남구 남부순환로 2933|135280|06280||1||127.061026050567|37.4939223326479
19911397|커피빈코리아선릉로93길점|코리아선릉로93길점|Q|음식|Q12|커피점/카페|Q12A01|커피전문점/카페/다방|I56220|비알콜 음료점업|11|서울특별시|11680|강남구|1168064000|역삼1동|1168010100|역삼동|1168010100206960042|1|대지|696|42|서울특별시 강남구 역삼동 696-42|116804166502|서울특별시 강남구 선릉로93길|6||1168010100106960042022041||서울특별시 강남구 선릉로93길 6|135080|06149||1||127.047883157395|37.505675040058
19911801|프로포즈||Q|음식|Q09|유흥주점|Q09A01|호프/맥주|I56219|기타 주점업|11|서울특별시|11545|금천구|1154563000|독산3동|1154510200|독산동|1154510200201620001|1|대지|162|1|서울특별시 금천구 독산동 162-1|115453117003|서울특별시 금천구 가산로|34|6|1154510200101620001017748||서울특별시 금천구 가산로 34-6|153010|08545||1||126.899220370682|37.4717112331268
19912201|싱싱커피&토스트||Q|음식|Q07|패스트푸드|Q07A10|토스트전문|I56192|피자, 햄버거, 샌드위치 및 유사 음식점업|26|부산광역시|26530|사상구|2653062000|괘법동|2653010400|괘법동|2653010400205780000|1|대지|578||부산광역시 사상구 괘법동 578|265303139004|부산광역시 사상구 괘감로|37||2653010400105780000002037|산업용품유통상가|부산광역시 사상구 괘감로 37|617726|46977||1|26|128.980455279266|35.1597741758499
19932756|가락사우나내스낵||F|생활서비스|F09|대중목욕탕/휴게|F09A02|사우나/증기탕/온천|S96121|욕탕업|11|서울특별시|11710|송파구|1171060000|석촌동|1171010500|석촌동|1171010500202560000|1|대지|256||서울특별시 송파구 석촌동 256|117103123001|서울특별시 송파구 가락로|71||1171010500102560005010490||서울특별시 송파구 가락로 71|138846|05690||1||127.104070564081|37.5002486691845
19983535|초밥왕||Q|음식|Q03|일식/수산물|Q03A03|음식점-초밥전문|I56113|일식 음식점업|11|서울특별시|11710|송파구|1171071000|잠실6동|1171010200|신천동|1171010200200070028|1|대지|7|28|서울특별시 송파구 신천동 7-28|117103123023|서울특별시 송파구 올림픽로|293|19|1171010200100070028000237|현대타워아파트|서울특별시 송파구 올림픽로 293-19|138735|05510||1||127.102489784096|37.5151491920485
19964615|석봉토스트||Q|음식|Q07|패스트푸드|Q07A10|토스트전문|I56192|피자, 햄버거, 샌드위치 및 유사 음식점업|11|서울특별시|11215|광진구|1121586000|구의2동|1121510300|구의동|1121510300200770047|1|대지|77|47|서울특별시 광진구 구의동 77-47|112154112444|서울특별시 광진구 자양로39길|20||1121510300100770047020647||서울특별시 광진구 자양로39길 20|143200|04992||1||127.088387455895|37.5492452077814
19975850|허술한집||Q|음식|Q04|분식|Q04A01|라면김밥분식|I56194|분식 및 김밥 전문점|11|서울특별시|11500|강서구|1150062000|공항동|1150010800|공항동|1150010800200450089|1|대지|45|89|서울특별시 강서구 공항동 45-89|115004145181|서울특별시 강서구 공항대로3길|9||1150010800100450031005883||서울특별시 강서구 공항대로3길 9|157812|07619||1||126.809957472555|37.5620126925293
19977290|피자마루|약수점|Q|음식|Q07|패스트푸드|Q07A01|피자전문|I56192|피자, 햄버거, 샌드위치 및 유사 음식점업|11|서울특별시|11140|중구|1114063500|약수동|1114016200|신당동|1114016200203720095|1|대지|372|95|서울특별시 중구 신당동 372-95|111404103114|서울특별시 중구 동호로7길|37||1114016200103720095000001|현진빌딩|서울특별시 중구 동호로7길 37|100450|04596||1||127.010861306352|37.5521533135816
19979960|홍능갈비||Q|음식|Q01|한식|Q01A02|갈비/삼겹살|I56111|한식 음식점업|11|서울특별시|11500|강서구|1150054000|화곡1동|1150010300|화곡동|1150010300210860003|1|대지|1086|3|서울특별시 강서구 화곡동 1086-3|115004145499|서울특별시 강서구 화곡로18길|31||1150010300110860003013118||서울특별시 강서구 화곡로18길 31|157010|07718||1||126.836078008217|37.5389273478103
